id	name	price	area	error	where	geotag	deleted	description	url
7703290759	Fully Furnished and Ready to Move in	2070	bellevue	blacklisted_description	seattle	(47.5614, -122.1552)	False	"Furnished Studio - Only 2 Month Minimum!Take advantage of our special discounted rate! All utilities are included! show contact info
www.esa.com/craigslistLooking for a place to call home for a couple months or longer? We have everything you need without the hassles of traditional apartments, all at a great rate. Each room comes with a fully equipped kitchen and plenty of workspace. And unlike apartments, cable and Wi-Fi are already hooked up and free! With no leases and no credit checks, we are move-in ready. So just bring yourself – and your furry family member – and feel right at home.Property AmenitiesAll Rooms Non-SmokingPet-Friendly Rooms AvailableBi-Weekly HousekeepingFree Grab-and-Go BreakfastOn-Site Guest LaundryFree Off-Street ParkingIn-Room AmenitiesFully Equipped KitchenFull-Size RefrigeratorElectric RangeMicrowaveFree In-Room Wi-FiFlat Screen TVsFree Cable with Premium ChannelsIron & Ironing BoardDining and workspaceStaying less than 2 months?  We also have great nightly, weekly, and 30-night rates.  Call for details.Minimum 60-night length of stay required. Booking conditions apply. Rates and availability subject to change. Rate will vary by room type and stay dates. Rate not inclusive of taxes and fees. Actual room may vary from those shown.Pets are always welcome at Extended Stay America. A maximum of two pets are allowed in each suite. Pet fees vary by location to cover the cost of cleaning and guest room fumigation. Service animals will be exempt from this charge. Height and length restrictions apply: pets can be no longer than 36 inches and no taller than 36 inches. Larger, or more than two pets requires property manager’s approval. Please contact the property for questions.This site may contain errors, inaccuracies, omissions or incomplete data (including without limitation mistaken hotel rates or availability). Extended Stay America reserves the right to rescind any stated offer and to correct any errors, inaccuracies or omissions including after a reservation order has been submitted and whether or not the order has been confirmed and your credit card charged.Extended Stay America Suites - 3700 132nd Ave SE, Bellevue, WA 98006"	https://seattle.craigslist.org/see/apa/d/bellevue-fully-furnished-and-ready-to/7703290759.html
7703290428	West Facing Open 1 Bedroom! Natural Light Just Pours In!	2150	capital hill	blacklisted_description	seattle	(47.61633, -122.308397)	False	"Lawrence Lofts1818 E Madison Street, Seattle, WA, 98122Want more information? Follow this link:https://blantonturner.touraptnow.com/46o1p0Call Now -  show contact info
 x 328OR Text 328 to  show contact info
 to text us.Your journey starts here.1 Bedroom, 1 Bath | Approximately 655 Sq. Ft.Community Info:When it comes time to find your new place to land, touch down at Lawrence Lofts! Make leaving home a little harder by enjoying our high ceilings, oversized windows, and open interiors. Minimal walls and tall ceilings maximize the sensation of spaciousness. Hone your home chef potential in sleek updated kitchens with convenient stainless-steel appliances, granite countertops, under cabinet lighting, and European-inspired cabinetry. Concrete floors make cleaning a breeze and ensures you never hear a peep from your upstairs neighbors. Things don't end with the apartments! Lawrence Lofts offers a fantastic community as well! Immerse yourself in a true PNW Seattle experience with curated projector videos on every floor. Host with half the hassle with a fully equipped, professionally cleaned guest suite. No more couch surfing, our suite is more affordable than any hotel! Barbeque tastes better when you're enjoying cascade mountain views from our reservable rooftop amenity space. Fur babies are family. All breeds and sizes are allowed with NO pet deposits! And more is just outside your door. Conveniently located only blocks from the Pike/Pine Corridor of Capitol Hill, Lawrence Lofts is hyper-connected. Explore the neighborhood with ease. A local walk score of 94 means all the area has to offer is at your fingertips. Come check out Lawrence Lofts today and see why it is the PERFECT place to call your next home!  Unit Highlights ✧  Microwaves ✧  Decks, Patios, and Rooftop Terraces* ✧  Granite Countertops ✧  Front-load Washer and Dryers ✧  High Ceilings ✧  Stainless Steel Appliances ✧  Tile Showers ✧  Fireplaces ✧  Under Cabinet Lighting ✧  Dishwashers ✧  Glass-front Cabinets Inspired by European Design ✧  Garbage Disposals ✧  Floor-to-ceiling Windows ✧  Deep Tubs ✧  Tile or Concrete Flooring in Living Areas ✧  Bottom-load Freezers*Included for Some Floor PlansCommunity Highlights ✧  Rooftop View Deck ✧  Guest Suite ✧  Professional-grade BBQs ✧  Pet Friendly ✧  On-site Retail Spaces ✧  Green Spaces Nearby ✧  Virtual Concierge ✧  WalkScore of 94 ✧  Convenient NeighborhoodOffice HoursMonday-Saturday: 9:00AM-6:00PMPet PolicyPets are part of the family! We conduct individual pet interviews for our furry residents without breed or size restrictions. Once they’re here, walks at Cal Anderson, Mill, and Seven Hills park are easy to sneak in (under a half-mile away). Equal Housing OpportunityB1Ke9VU6wjPb"	https://seattle.craigslist.org/see/apa/d/seattle-west-facing-open-bedroom/7703290428.html
7702741018	6 Weeks Free - Stunning 1 Bedroom + Den On Our Bight Southwest Corner	2439	greenwood	blacklisted_description	Greenwood	(47.691677, -122.356337)	False	"8612 Palatine Ave N, Seattle, WA 98103(Price reflects a 12-month lease for apartment #424 with a start date within 7 days of the original posting date. Price is subject to change and varies depending on lease length, move-in date, and more. Visit our website for more detailed pricing information).Find substance, style, and sustainability at The Morrow, brand new luxury apartment homes in the pedestrian-friendly, vibrant neighborhood of Greenwood, Seattle. The Morrow features apartment homes with modern finishes and lavish amenities including a rooftop deck, game room, courtyard and bike storage. This pet-friendly brand new apartment community is where you want to be if you seek upscale living in a convenient location. Join the VIP list or give us a call today to learn more.Unit Amenities:Washer/Dryer In UnitClosets with built-in shelvesWindow CoveringsDark cabinets with subway tile backsplashMountain Views*Semi Private Balcony/Patios*CarpetingRefrigeratorDishwasherMicrowave*In Select HomesCommunity Amenities:Electric Car Charging StationsControlled Access BuildingControlled/Remote Garage EntryGame RoomWalking distance from Greenwood shopping, restaurants and barsClose to I-5Call:  show contact info
For more information, visit us at: https://livecushwake.com/zv4q4ci2/morrow*Equal housing opportunity*"	https://seattle.craigslist.org/see/apa/d/seattle-weeks-free-stunning-bedroom-den/7702741018.html
7702623614	3 bdrm. 2 Full bath unit in a Brick Triplex in Ballard	2695	ballard	blacklisted_description	Seattle, Ballard	(47.6691, -122.3691)	False	"For rent a 3 bedroom 2 full bathroom unit in an all brick triplex with a tile roof, well landscaped- in a quiet Ballard neighborhood 1 block north of Market Street near bus lines, and shopping. There are 2 floors with full bathrooms on each floor. White oak hardwood floors, fireplace with an insert (more efficient), free firewood in the backyard. New porcelain tile floor in the kitchen. Storage in the unit. Washer, and dryer, in the laundry room. The lower bedroom has it's own optional private entrance. Optionally, partially, furnished. No utilities are included, no pets, non-smokers. Off street parking for 1 car. By appointment only for interior showing. To see interior please text to: 206 947-44 six, seven. Near Phinney Ridge, Fremont, and downtown Seattle. You are welcome to drive by to see the outside of the building, and neighborhood, anytime (915 N.W. 56th St. Sea., WA 98107 In the Ballard neighborhood). Available September 1st, 2023. Pictures on Facebook Marketplace. https://www.facebook.com/marketplace/item/1274289469587464/?mibextid=dXMIcH
Blessings."	https://seattle.craigslist.org/see/apa/d/seattle-bdrm-full-bath-unit-in-brick/7702623614.html
7702173313	2BD 2BA apt :: Modern kitchen :: Open concept living :: Belltown area	2695	belltown	blacklisted_description	Seattle Waterfront, Belltown, Elliott Avenue	(47.612051, -122.347308)	False	"The Elliott Pointe Apartments offers unique studio, one and two bedroom floor plans to suit your desire for luxury apartment living. Our apartments feature fantastic designer-colored walls, luxury plank floor, and stainless steel kitchen appliances.This apartment features:Fireplace!Spacious pool & courtyardStainless Steel Kitchen AppliancesDesigner Surfaces & Fixtures with Luxury Plank Flooring throughoutLarge patio has sliding glass doors to both the living room and bedroom with extra outside storage unitFull-size Washer/Dryer12 month lease availablePhotos in ad may not be of actual apartment, however we try our best to use photos similar to the floor plan.Come Visit us!Elliott Pointe2226 Elliott AveSeattle, WA 98121https://livecreativejuices.com/ku7lbkkk/elliott-pointeContact us today to schedule a tour! Call  show contact info
Office Hours Tuesday - Saturday 9:00 AM - 6:00 PMClosed Sunday & MondayPhotos in ad may not be of actual apartment, however we try our best to use photos similar to the floor plan.related search terms ::: Elliott Bay, Pike Place Market, Seattle Waterfront, Bell Street Bridge, Belltown, Seattle Art Institute, highway 5, highway 99, Pier 66"	https://seattle.craigslist.org/see/apa/d/seattle-2bd-2ba-apt-modern-kitchen-open/7702173313.html
7701388001	TOUR TODAY! Pet Friendly, Close To Transit, Nearby Downtown Apt Homes!	1830	renton	blacklisted_description	95 Burnett Ave S, Renton, WA	(47.483106, -122.208255)	False	"95 Burnett Ave S, Renton, WA 98057Welcome to 95 Burnett Apartments, an intimate community with a charming atmosphere. Our apartment community is located in Downtown Renton, Washington a vibrant neighborhood brimming with boutique shops, restaurants and parks, all within walking distance from your front door. Choose from eight spacious floor plans with studio, one, two and three bedroom options including two level townhomes. Each home is tailored with amenities such as hardwood floors, 9 ceilings, private balconies/patios, fully equipped kitchens with granite countertops, in-home washer and dryer and select homes feature vaulted ceilings. Plus, enjoy our year round firepit and BBQ gazebo and play ping pong, cornhole, or putt-putt golf with your friends, family or neighbors on our second floor patio deck!,Living at 95 Burnett Apartments in Renton gives you easy access to I-405, and we are just a few miles from Tukwila Station for a quick commute to Seattle and Tacoma on the Sounder train. Flying out for business or pleasure?  We're just six miles from Seattle-Tacoma International Airport.  Our convenient location also puts you within minutes to Boeing, Renton Landing, Southcenter Mall, Gene Coulon Memorial Beach Park and Cedar River Park. Wed love to have you call 95 Burnett your new home. Give us a call to schedule your tour today!,Unit Amenities:All-electric KitchenBreakfast BarCarpeted FloorsCovered Parking GarageDen or Study*GarageHardwood FloorsMini BlindsRefrigeratorTrack and Pendant Lighting*In Select HomesCommunity Amenities:Pet-friendly staff (with dog treats in the office)CourtyardClose to shoppingSoaker tubCopy and fax servicesSpacious floorplansCall:  show contact info
For more information, visit us at: https://livecushwake.com/oumg67te/95-burnett*Equal housing opportunity*"	https://seattle.craigslist.org/see/apa/d/renton-tour-today-pet-friendly-close-to/7701388001.html
7701405347	Exposed brick walls, Ceiling fans	2895	downtown	blacklisted_description	111 1st Avenue South, Seattle, WA	(47.6036, -122.3256)	False	"Welcome to Terry DennyThe Terry Denny Lofts & Penthouse Apartments in Downtown SeattleThe Terry Denny Apartment Building in downtown Seattle's Pioneer Square artfully combines old and new with unique live / work spaces designed for urban residents. Historic loft apartment interiors with renovated apartment building amenities feature hardwood floors, exposed brick walls, modern kitchens, and generously sized bathrooms. New construction penthouse loft apartments offer private decks with stunning views of Elliott Bay and downtown Seattle, floor-to-ceiling windows and a second level perfect for a home office or bedroom. Building amenities include affordable parking options, community roof top deck, bike storage and on-site storage units. Terry Denny Loft Apartments and Penthouse Apartments are available for rent.The Terry Denny Lofts & Penthouse Apartments are located at 111 First Avenue South in the vibrant and historic Pioneer Square neighborhood, where you’ll find a host of galleries, bookstores, boutiques, restaurants, outdoor spaces and all the amenities that downtown Seattle has to offer.Apartment Features:Washer/DryerDigital cable availableCeiling fans17 foot ceiling heightFloor-to-ceiling windowsFlexible living space with second level upstairs loftConcealed architectural lightingDesigner modern kitchens with above counter lighting, stainless steel backsplash and solid black epoxy countersSpacious white tiled baths feature built-in vanity and large above counter sink basinAppliances include dishwasher, disposal, glass-top range and washer & dryer in each unitOn-site storage units availableHardwood floors11 to 15 foot ceilingsAdditional closet and kitchen cupboard spaceLarge private decks with breathtaking water and city viewsWheelchair accessCommunity Features:On-Site ManagementAvailability 24 HoursBicycle StorageElectronic key card access to buildingOn-site parking availableOpen flexible living spacesOriginal millworkExposed brick wallsFive-panel oversized mahogany slider doorsHistoric landmark buildingAdditional parking available at nearby garage, with special discounted monthly rates for residentsStainless steel elevatorCommunity roof top deck with Elliott Bay view and gas grillGarageHistoric BuildingCall:  show contact info
For more information, visit us at: https://samis-living.com/euoqr4cn/terry-denny*Pricing and availability are subject to change daily. Photos may not be of the exact advertised unit. Please contact us today for the most up to date information!"	https://seattle.craigslist.org/see/apa/d/seattle-exposed-brick-walls-ceiling-fans/7701405347.html
7700251289	Landmark N. Broadway, hardwoods, Parking, Pets	1695	capitol hill	blacklisted_description	Capitol Hill	(47.621135, -122.3224)	False	"Spacious1 bedroom apartment in our quiet, well maintained 1948 Bauhaus-inspired 14 unit apartment building.  Popular North Capitol Hill location,   1 block off Broadway,  Harvard Ave E and E Thomas St.  Light Rail station just 2 blocks away, great access by bus to U-district or downtown, walk to South Lake Union area.  QFC grocery store, many restaurants and shops, SCCC, public library are all just blocks away. 

This main floor NW corner apartment  features: deep window sills, large period steel windows,  hardwood floors,  full bath with tile, large vintage tile kitchen with room for a table by the window.  Laundry in building.  cat ok, dog considered; no fee.  

This is a no smoking building. 

Apartment rent is $1,695 plus $20 utility fee which includes: WSG, Heat, Hot Water.  Parking space $100
Move-in cost: first month's rent and a $600 refundable deposit. 

No application fee. 
Lease terms flexible
Call for in-person tour, YouTube tour here:  https://youtu.be/S4BWoF8q-4Q 
contact Ron@  show contact info"	https://seattle.craigslist.org/see/apa/d/landmark-broadway-hardwoods-parking-pets/7700251289.html
7695791283	North Broadway, Hardwoods, Pets, Parking	1725	capitol hill	blacklisted_description	Capitol Hill	(47.621149, -122.322357)	False	"We have a nice sized 1 bedroom apartment coming available.

Our landmark 1948 building is located in the heart of the North Capitol Hill Broadway district: one block west of Broadway, 2 blocks north of the light rail station.

The apartment features: natural hardwood floors, dish washer, original steel windows, tile bath, laundry in building, secure entry, off street parking available.

video link: https://youtu.be/fDhgDjP0YAc

Rent is $1725 plus $20 for W, S, G, and heat.

Parking available for $100/month.

renal info: https://docs.google.com/document/d/1XC2dwcAGlyCxspELMCLbEw54rhPfyi_h_2ITzVEG3VM/edit#heading=h.hhevn0icya3z"	https://seattle.craigslist.org/see/apa/d/seattle-north-broadway-hardwoods-pets/7695791283.html
7703287670	Light Filled 1 Bedroom on Eastlake- 2 Weeks FREE	1895	eastlake	blacklisted_description	Seattle, Eastlake	(47.63832, -122.325937)	False	"Light Filled 1 Bedroom on Eastlake- 2 Weeks FREE




Property Address

2201 EASTLAKE AVE E UNIT 407 | SEATTLE, WA 98102


  Available: Now



Offered By

Waterton Apartments - Seattle Property Management Associates




Description

    Drawing inspiration from the Eastlake neighborhood, its buildings, the lake and the sky, Waterton Eastlake is as much of an experience as a place to call home. Positioned at the gateway to residential Eastlake from South Lake Union, the contemporary spaces at Waterton provide comfort and quality with the latest in modern living amenities, including amazing views of Lake Union.

We are offering this urban 1 bedroom unit on a 12- month Lease Term with 2 weeks Rent Free. At the time of application, we require payment of the $25 application fee per person and a $1000 deposit that is then applied to the refundable security deposit upon approval. This building is no smoking and cats and dogs are allowed. A reserved parking space in the garage may be available for $175/month.

For more information or to schedule a viewing, please contact us at  show contact info

Feel free to view all of our property vacancies at www.seattlepma.com
  
Amenities

Hardwood Floors
Roof Top Deck
On-Site Management
washer/dryer in unit
Dog-Washing Station
Garage Parking

Details

Beds/Baths: 1BD/1.0BA
Square Feet: 542

Rental Terms

Rent: $1,895.00 

    Available: Now
    Application Fee: $25.00
    Security Deposit: $1,000.00

  
Pet Policy

Cats allowed
Small dogs allowed"	https://seattle.craigslist.org/see/apa/d/seattle-light-filled-bedroom-on/7703287670.html
